UF;Ano;Grupos de idade;Mulheres;SINASC
Espírito Santo;2000;10 a 14 anos;155604;454
Espírito Santo;2000;15 a 19 anos;164572;12693
Espírito Santo;2000;20 a 24 anos;151943;18591
Espírito Santo;2000;25 a 29 anos;129401;13331
Espírito Santo;2000;30 a 34 anos;124616;7838
Espírito Santo;2000;35 a 39 anos;119976;3510
Espírito Santo;2000;40 a 44 anos;104755;777
Espírito Santo;2000;45 a 49 anos;83904;50
Espírito Santo;2000;50 a 54 anos;62785;0
Espírito Santo;2000;55 a 59 anos;48646;0
Espírito Santo;2010;10 a 14 anos;148835;390
Espírito Santo;2010;15 a 19 anos;150145;8755
Espírito Santo;2010;20 a 24 anos;160595;14236
Espírito Santo;2010;25 a 29 anos;161730;13855
Espírito Santo;2010;30 a 34 anos;151806;9819
Espírito Santo;2010;35 a 39 anos;132299;4289
Espírito Santo;2010;40 a 44 anos;125114;953
Espírito Santo;2010;45 a 49 anos;117041;52
Espírito Santo;2010;50 a 54 anos;102951;8
Espírito Santo;2010;55 a 59 anos;82830;1
Rio de Janeiro;2000;10 a 14 anos;594437;2147
Rio de Janeiro;2000;15 a 19 anos;659306;51145
Rio de Janeiro;2000;20 a 24 anos;659283;75019
Rio de Janeiro;2000;25 a 29 anos;599408;59633
Rio de Janeiro;2000;30 a 34 anos;584826;39997
Rio de Janeiro;2000;35 a 39 anos;596937;20308
Rio de Janeiro;2000;40 a 44 anos;549839;4885
Rio de Janeiro;2000;45 a 49 anos;473989;251
Rio de Janeiro;2000;50 a 54 anos;386636;10
Rio de Janeiro;2000;55 a 59 anos;296462;1
Rio de Janeiro;2010;10 a 14 anos;642128;1689
Rio de Janeiro;2010;15 a 19 anos;632237;38085
Rio de Janeiro;2010;20 a 24 anos;656053;56431
Rio de Janeiro;2010;25 a 29 anos;699198;55134
Rio de Janeiro;2010;30 a 34 anos;685276;42974
Rio de Janeiro;2010;35 a 39 anos;623979;20988
Rio de Janeiro;2010;40 a 44 anos;599988;5204
Rio de Janeiro;2010;45 a 49 anos;586205;332
Rio de Janeiro;2010;50 a 54 anos;541720;20
Rio de Janeiro;2010;55 a 59 anos;450180;0
São Paulo;2000;10 a 14 anos;1672321;3789
São Paulo;2000;15 a 19 anos;1822191;124738
São Paulo;2000;20 a 24 anos;1777787;194453
São Paulo;2000;25 a 29 anos;1619596;165791
São Paulo;2000;30 a 34 anos;1546067;111930
São Paulo;2000;35 a 39 anos;1491253;52234
São Paulo;2000;40 a 44 anos;1325256;11739
São Paulo;2000;45 a 49 anos;1102352;702
São Paulo;2000;50 a 54 anos;879759;29
São Paulo;2000;55 a 59 anos;666508;1
São Paulo;2010;10 a 14 anos;1637460;3348
São Paulo;2010;15 a 19 anos;1635481;87057
São Paulo;2010;20 a 24 anos;1802155;151537
São Paulo;2010;25 a 29 anos;1908524;160485
São Paulo;2010;30 a 34 anos;1815007;127828
São Paulo;2010;35 a 39 anos;1634719;64426
São Paulo;2010;40 a 44 anos;1535515;15309
São Paulo;2010;45 a 49 anos;1444434;900
São Paulo;2010;50 a 54 anos;1287100;49
São Paulo;2010;55 a 59 anos;1057440;7
Paraná;2000;10 a 14 anos;460622;1551
Paraná;2000;15 a 19 anos;469632;37493
Paraná;2000;20 a 24 anos;435577;50572
Paraná;2000;25 a 29 anos;403844;41012
Paraná;2000;30 a 34 anos;399455;26931
Paraná;2000;35 a 39 anos;376136;12503
Paraná;2000;40 a 44 anos;319379;3125
Paraná;2000;45 a 49 anos;266366;218
Paraná;2000;50 a 54 anos;213880;6
Paraná;2000;55 a 59 anos;166740;3
Paraná;2010;10 a 14 anos;445734;1226
Paraná;2010;15 a 19 anos;458368;27708
Paraná;2010;20 a 24 anos;449437;39666
Paraná;2010;25 a 29 anos;443710;38287
Paraná;2010;30 a 34 anos;425853;28801
Paraná;2010;35 a 39 anos;403014;13805
Paraná;2010;40 a 44 anos;394286;3298
Paraná;2010;45 a 49 anos;363771;211
Paraná;2010;50 a 54 anos;311131;6
Paraná;2010;55 a 59 anos;255397;1
Santa Catarina;2000;10 a 14 anos;258441;608
Santa Catarina;2000;15 a 19 anos;263881;18412
Santa Catarina;2000;20 a 24 anos;237701;26158
Santa Catarina;2000;25 a 29 anos;220878;22120
Santa Catarina;2000;30 a 34 anos;223756;15239
Santa Catarina;2000;35 a 39 anos;220521;7774
Santa Catarina;2000;40 a 44 anos;184231;1985
Santa Catarina;2000;45 a 49 anos;151638;141
Santa Catarina;2000;50 a 54 anos;119757;2
Santa Catarina;2000;55 a 59 anos;88647;1
Santa Catarina;2010;10 a 14 anos;254699;563
Santa Catarina;2010;15 a 19 anos;269017;13454
Santa Catarina;2010;20 a 24 anos;278273;22009
Santa Catarina;2010;25 a 29 anos;280317;22733
Santa Catarina;2010;30 a 34 anos;254869;17019
Santa Catarina;2010;35 a 39 anos;236535;8255
Santa Catarina;2010;40 a 44 anos;233944;1931
Santa Catarina;2010;45 a 49 anos;225123;123
Santa Catarina;2010;50 a 54 anos;187634;3
Santa Catarina;2010;55 a 59 anos;152898;0
Rio Grande do Sul;2000;10 a 14 anos;447564;1469
Rio Grande do Sul;2000;15 a 19 anos;475992;32935
Rio Grande do Sul;2000;20 a 24 anos;425776;43428
Rio Grande do Sul;2000;25 a 29 anos;386033;38262
Rio Grande do Sul;2000;30 a 34 anos;399134;30034
Rio Grande do Sul;2000;35 a 39 anos;416339;18084
Rio Grande do Sul;2000;40 a 44 anos;375587;4719
Rio Grande do Sul;2000;45 a 49 anos;322769;300
Rio Grande do Sul;2000;50 a 54 anos;266715;6
Rio Grande do Sul;2000;55 a 59 anos;210793;1
Rio Grande do Sul;2010;10 a 14 anos;422937;893
Rio Grande do Sul;2010;15 a 19 anos;433131;21240
Rio Grande do Sul;2010;20 a 24 anos;433295;32531
Rio Grande do Sul;2010;25 a 29 anos;448403;34614
Rio Grande do Sul;2010;30 a 34 anos;409206;27836
Rio Grande do Sul;2010;35 a 39 anos;379016;15082
Rio Grande do Sul;2010;40 a 44 anos;391422;4052
Rio Grande do Sul;2010;45 a 49 anos;399909;280
Rio Grande do Sul;2010;50 a 54 anos;360251;8
Rio Grande do Sul;2010;55 a 59 anos;307810;0
Mato Grosso do Sul;2000;10 a 14 anos;106580;554
Mato Grosso do Sul;2000;15 a 19 anos;107908;10536
Mato Grosso do Sul;2000;20 a 24 anos;97114;12969
Mato Grosso do Sul;2000;25 a 29 anos;87960;8758
Mato Grosso do Sul;2000;30 a 34 anos;83595;4619
Mato Grosso do Sul;2000;35 a 39 anos;79642;1978
Mato Grosso do Sul;2000;40 a 44 anos;65975;448
Mato Grosso do Sul;2000;45 a 49 anos;52444;29
Mato Grosso do Sul;2000;50 a 54 anos;40180;0
Mato Grosso do Sul;2000;55 a 59 anos;32363;2
Mato Grosso do Sul;2010;10 a 14 anos;109137;529
Mato Grosso do Sul;2010;15 a 19 anos;111895;8905
Mato Grosso do Sul;2010;20 a 24 anos;108681;11438
Mato Grosso do Sul;2010;25 a 29 anos;109166;10239
Mato Grosso do Sul;2010;30 a 34 anos;101358;6720
Mato Grosso do Sul;2010;35 a 39 anos;92154;2750
Mato Grosso do Sul;2010;40 a 44 anos;85721;594
Mato Grosso do Sul;2010;45 a 49 anos;79169;48
Mato Grosso do Sul;2010;50 a 54 anos;64564;8
Mato Grosso do Sul;2010;55 a 59 anos;52639;0
Mato Grosso;2000;10 a 14 anos;133862;717
Mato Grosso;2000;15 a 19 anos;133078;13655
Mato Grosso;2000;20 a 24 anos;124000;17220
Mato Grosso;2000;25 a 29 anos;110690;9974
Mato Grosso;2000;30 a 34 anos;101526;4622
Mato Grosso;2000;35 a 39 anos;90007;1759
Mato Grosso;2000;40 a 44 anos;72512;412
Mato Grosso;2000;45 a 49 anos;55304;36
Mato Grosso;2000;50 a 54 anos;41221;2
Mato Grosso;2000;55 a 59 anos;31929;0
Mato Grosso;2010;10 a 14 anos;137332;582
Mato Grosso;2010;15 a 19 anos;140069;10376
Mato Grosso;2010;20 a 24 anos;140383;14805
Mato Grosso;2010;25 a 29 anos;139957;13049
Mato Grosso;2010;30 a 34 anos;131815;7767
Mato Grosso;2010;35 a 39 anos;116394;2995
Mato Grosso;2010;40 a 44 anos;104315;589
Mato Grosso;2010;45 a 49 anos;89376;40
Mato Grosso;2010;50 a 54 anos;72009;4
Mato Grosso;2010;55 a 59 anos;54108;2
Goiás;2000;10 a 14 anos;244238;775
Goiás;2000;15 a 19 anos;260055;21215
Goiás;2000;20 a 24 anos;254253;30479
Goiás;2000;25 a 29 anos;229278;18990
Goiás;2000;30 a 34 anos;214510;9004
Goiás;2000;35 a 39 anos;192380;3276
Goiás;2000;40 a 44 anos;157984;611
Goiás;2000;45 a 49 anos;125730;46
Goiás;2000;50 a 54 anos;98342;0
Goiás;2000;55 a 59 anos;76300;0
Goiás;2010;10 a 14 anos;261246;657
Goiás;2010;15 a 19 anos;264739;13857
Goiás;2010;20 a 24 anos;274766;22596
Goiás;2010;25 a 29 anos;279466;20973
Goiás;2010;30 a 34 anos;270132;13642
Goiás;2010;35 a 39 anos;240852;5441
Goiás;2010;40 a 44 anos;219706;1120
Goiás;2010;45 a 49 anos;190451;48
Goiás;2010;50 a 54 anos;156284;7
Goiás;2010;55 a 59 anos;125525;0
Distrito Federal;2000;10 a 14 anos;95326;378
Distrito Federal;2000;15 a 19 anos;117613;11298
Distrito Federal;2000;20 a 24 anos;123090;18167
Distrito Federal;2000;25 a 29 anos;106639;13972
Distrito Federal;2000;30 a 34 anos;95564;8487
Distrito Federal;2000;35 a 39 anos;84148;3627
Distrito Federal;2000;40 a 44 anos;67815;768
Distrito Federal;2000;45 a 49 anos;54909;59
Distrito Federal;2000;50 a 54 anos;41872;2
Distrito Federal;2000;55 a 59 anos;27969;0
Distrito Federal;2010;10 a 14 anos;108349;373
Distrito Federal;2010;15 a 19 anos;111733;8425
Distrito Federal;2010;20 a 24 anos;125084;13678
Distrito Federal;2010;25 a 29 anos;140292;14324
Distrito Federal;2010;30 a 34 anos;133841;11727
Distrito Federal;2010;35 a 39 anos;112636;5699
Distrito Federal;2010;40 a 44 anos;98986;1418
Distrito Federal;2010;45 a 49 anos;85117;71
Distrito Federal;2010;50 a 54 anos;67410;2
Distrito Federal;2010;55 a 59 anos;53071;0
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
